File ID,Prolongation_Present,Prolongation Frequency Score,Prolongation Duration Score,Prolongation Severity Score,Interjection_Present,Interjection Frequency Score,Interjection Duration Score,Interjection Severity Score,Block_Present,Block Frequency Score,Block Duration Score,Block Severity Score,SoundRep_Present,SoundRep Frequency Score,SoundRep Duration Score,SoundRep Severity Score,WordRep_Present,WordRep Frequency Score,WordRep Duration Score,WordRep Severity Score,NoStutteredWords,Overall Severity Score
soundrep_clip_008,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,70,0,0,0,0,0,70.0
wordrep_clip_008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,55,0,55.0
prolongation_clip_009,1,1,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0
interjection_clip_009,0,0,0,0,1,1,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0
block_clip_009,0,0,0,0,0,0,0,0,1,3,1,70,0,0,0,0,0,0,0,0,0,70.0
soundrep_clip_009,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,70,0,0,0,0,0,70.0
wordrep_clip_009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,55,0,55.0
prolongation_clip_010,1,1,2,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.0
interjection_clip_010,0,0,0,0,1,2,2,70,0,0,0,0,0,0,0,0,0,0,0,0,0,70.0
block_clip_010,0,0,0,0,0,0,0,0,1,3,1,70,0,0,0,0,0,0,0,0,0,70.0
soundrep_clip_010,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,85,0,0,0,0,0,85.0
wordrep_clip_010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,85,0,85.0
prolongation_clip_011,1,2,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.0
interjection_clip_011,0,0,0,0,1,1,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0
block_clip_011,0,0,0,0,0,0,0,0,1,2,1,55,0,0,0,0,0,0,0,0,0,55.0
soundrep_clip_011,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,85,0,0,0,0,0,85.0
wordrep_clip_011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,70,0,70.0
prolongation_clip_012,1,3,1,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.0
interjection_clip_012,0,0,0,0,1,3,2,85,0,0,0,0,0,0,0,0,0,0,0,0,0,85.0
block_clip_012,0,0,0,0,0,0,0,0,1,1,2,55,0,0,0,0,0,0,0,0,0,55.0
soundrep_clip_012,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,85,0,0,0,0,0,85.0
wordrep_clip_012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,85,0,85.0
prolongation_clip_013,1,2,3,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.0
interjection_clip_013,0,0,0,0,1,2,3,85,0,0,0,0,0,0,0,0,0,0,0,0,0,85.0
block_clip_013,0,0,0,0,0,0,0,0,1,1,2,55,0,0,0,0,0,0,0,0,0,55.0
soundrep_clip_013,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,85,0,0,0,0,0,85.0
wordrep_clip_013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,70,0,70.0
prolongation_clip_014,1,1,3,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.0
interjection_clip_014,0,0,0,0,1,2,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,55.0
block_clip_014,0,0,0,0,0,0,0,0,1,3,3,100,0,0,0,0,0,0,0,0,0,100.0
soundrep_clip_014,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,70,0,0,0,0,0,70.0
wordrep_clip_014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,85,0,85.0
prolongation_clip_015,1,1,2,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.0
interjection_clip_015,0,0,0,0,1,3,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0
block_clip_015,0,0,0,0,0,0,0,0,1,1,2,55,0,0,0,0,0,0,0,0,0,55.0
soundrep_clip_015,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,70,0,0,0,0,0,70.0
wordrep_clip_015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,55,0,55.0
prolongation_clip_016,1,3,2,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.0
interjection_clip_016,0,0,0,0,1,3,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0
block_clip_016,0,0,0,0,0,0,0,0,1,2,2,70,0,0,0,0,0,0,0,0,0,70.0
soundrep_clip_016,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,70,0,0,0,0,0,70.0
wordrep_clip_016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,55,0,55.0
prolongation_clip_017,1,1,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0
interjection_clip_017,0,0,0,0,1,1,2,55,0,0,0,0,0,0,0,0,0,0,0,0,0,55.0
block_clip_017,0,0,0,0,0,0,0,0,1,2,2,70,0,0,0,0,0,0,0,0,0,70.0
soundrep_clip_017,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,100,0,0,0,0,0,100.0
wordrep_clip_017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,70,0,70.0
prolongation_clip_018,1,1,2,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.0
interjection_clip_018,0,0,0,0,1,2,3,85,0,0,0,0,0,0,0,0,0,0,0,0,0,85.0
block_clip_018,0,0,0,0,0,0,0,0,1,1,1,40,0,0,0,0,0,0,0,0,0,40.0
soundrep_clip_018,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,70,0,0,0,0,0,70.0
wordrep_clip_018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,85,0,85.0
prolongation_clip_019,1,3,1,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.0
interjection_clip_019,0,0,0,0,1,2,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,55.0
block_clip_019,0,0,0,0,0,0,0,0,1,1,1,40,0,0,0,0,0,0,0,0,0,40.0
soundrep_clip_019,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,85,0,0,0,0,0,85.0
wordrep_clip_019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,55,0,55.0
prolongation_clip_020,1,2,2,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.0
interjection_clip_020,0,0,0,0,1,3,1,70,0,0,0,0,0,0,0,0,0,0,0,0,0,70.0
block_clip_020,0,0,0,0,0,0,0,0,1,1,1,40,0,0,0,0,0,0,0,0,0,40.0
soundrep_clip_020,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,55,0,0,0,0,0,55.0
wordrep_clip_020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,70,0,70.0
multi_stutter_clip_001,0,0,0,0,1,1,1,40,0,0,0,0,0,0,0,0,1,1,3,70,0,55.0
multi_stutter_clip_002,0,0,0,0,1,2,1,55,0,0,0,0,0,0,0,0,1,3,3,100,0,77.5
multi_stutter_clip_003,0,0,0,0,1,3,2,85,1,3,3,100,0,0,0,0,1,3,2,85,0,90.0
multi_stutter_clip_004,1,2,3,85,0,0,0,0,1,1,1,40,0,0,0,0,1,2,1,55,0,60.0
multi_stutter_clip_005,0,0,0,0,1,2,3,85,1,1,2,55,0,0,0,0,0,0,0,0,0,70.0
multi_stutter_clip_006,0,0,0,0,1,2,2,70,0,0,0,0,1,3,1,70,1,2,1,55,0,65.0
multi_stutter_clip_007,0,0,0,0,0,0,0,0,1,3,2,85,1,1,1,40,0,0,0,0,0,62.5
multi_stutter_clip_008,0,0,0,0,0,0,0,0,1,3,1,70,1,2,1,55,1,3,2,85,0,70.0
multi_stutter_clip_009,0,0,0,0,0,0,0,0,1,3,2,85,0,0,0,0,1,3,3,100,0,92.5
multi_stutter_clip_010,1,1,3,70,0,0,0,0,1,1,3,70,0,0,0,0,0,0,0,0,0,70.0
multi_stutter_clip_011,1,3,3,100,0,0,0,0,0,0,0,0,1,2,3,85,1,2,2,70,0,85.0
multi_stutter_clip_012,1,3,3,100,1,3,1,70,0,0,0,0,1,3,2,85,0,0,0,0,0,85.0
multi_stutter_clip_013,1,1,1,40,1,1,1,40,1,1,2,55,0,0,0,0,0,0,0,0,0,45.0
multi_stutter_clip_014,0,0,0,0,1,2,3,85,0,0,0,0,1,3,3,100,1,2,1,55,0,80.0
multi_stutter_clip_015,1,2,2,70,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,40,0,55.0
multi_stutter_clip_016,0,0,0,0,1,3,1,70,1,2,1,55,1,2,2,70,0,0,0,0,0,65.0
multi_stutter_clip_017,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,100,1,3,1,70,0,85.0
multi_stutter_clip_018,1,1,1,40,0,0,0,0,0,0,0,0,1,3,2,85,0,0,0,0,0,62.5
multi_stutter_clip_019,1,3,2,85,1,2,2,70,1,3,1,70,0,0,0,0,0,0,0,0,0,75.0
multi_stutter_clip_020,1,1,1,40,1,2,3,85,1,3,3,100,0,0,0,0,0,0,0,0,0,75.0
nostutter_clip_001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
nostutter_clip_002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
nostutter_clip_003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
nostutter_clip_004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
nostutter_clip_005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
nostutter_clip_006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
nostutter_clip_007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
nostutter_clip_008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
nostutter_clip_009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
nostutter_clip_010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
nostutter_clip_011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
nostutter_clip_012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
nostutter_clip_013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
nostutter_clip_014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
nostutter_clip_015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
nostutter_clip_016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
nostutter_clip_017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
nostutter_clip_018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
nostutter_clip_019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
nostutter_clip_020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
